id_parlamentar;id_parlamentar_parlametria;casa;legislatura;nome;partido;uf;situacao;em_exercicio;governismo;disciplina;partido_disciplina;partido_atual;votos_validos;num_seguiu;bancada_suficiente;;;;;;;;;;
5012;25012;senado;54;Randolfe Rodrigues;REDE;AP;Titular;1;-10;0,961038961;REDE;REDE;77;74;FALSO;;;;;;;;;;
152605;1152605;camara;53;Glauber Braga;PSOL;RJ;Titular;1;-10;0,951263538;PSOL;PSOL;554;527;VERDADEIRO;;;;;;;;;;
5973;25973;senado;56;Cid Gomes;PDT;CE;Titular;1;-9,165510253;0,909090909;PDT;PDT;33;30;VERDADEIRO;;;;;;;;;;
204509;1204509;camara;56;Áurea Carolina;PSOL;MG;Titular;1;-9,108778618;0,936868687;PSOL;PSOL;396;371;VERDADEIRO;;;;;;;;;;
5236;25236;senado;55;Reguffe;PODEMOS;DF;Titular;1;-9,043684967;0,6;PODEMOS;PODEMOS;70;42;VERDADEIRO;;;;;;;;;;
5236;25236;senado;55;Reguffe;PODEMOS;DF;Titular;1;-9,043684967;0;SPARTIDO;PODEMOS;8;0;;;;;;;;;;;
73531;173531;camara;51;Ivan Valente;PSOL;SP;Titular;1;-8,683341311;0,934579439;PSOL;PSOL;535;500;VERDADEIRO;;;;;;;;;;
5783;25783;senado;56;Zenaide Maia;PROS;RN;Titular;1;-8,464380138;0,513513514;PROS;PROS;74;38;VERDADEIRO;;;;;;;;;;
204407;1204407;camara;56;Fernanda Melchionna;PSOL;RS;Titular;1;-8,160062819;0,932692308;PSOL;PSOL;520;485;VERDADEIRO;;;;;;;;;;
204501;1204501;camara;56;Alencar Santana Braga;PT;SP;Titular;1;-7,739540273;0,950561798;PT;PT;445;423;VERDADEIRO;;;;;;;;;;
5953;25953;senado;56;Fabiano Contarato;REDE;ES;Titular;1;-7,736305523;0,933333333;REDE;REDE;75;70;FALSO;;;;;;;;;;
204480;1204480;camara;56;Rogério Correia;PT;MG;Titular;1;-7,668715398;0,940613027;PT;PT;522;491;VERDADEIRO;;;;;;;;;;
76874;176874;camara;56;Marcelo Freixo;PSOL;RJ;Titular;1;-7,627966693;0,951851852;PSOL;PSOL;540;514;VERDADEIRO;;;;;;;;;;
178825;1178825;camara;55;Leo De Brito;PT;AC;Titular;1;-7,619135973;0,952054795;PT;PT;146;139;VERDADEIRO;;;;;;;;;;
171617;1171617;camara;54;Paulão;PT;AL;Titular;1;-7,538125476;0,945075758;PT;PT;528;499;VERDADEIRO;;;;;;;;;;
204464;1204464;camara;56;Talíria Petrone;PSOL;RJ;Titular;1;-7,481632527;0,933908046;PSOL;PSOL;348;325;VERDADEIRO;;;;;;;;;;
5008;25008;senado;54;Humberto Costa;PT;PE;Titular;1;-7,33783249;0,98630137;PT;PT;73;72;VERDADEIRO;;;;;;;;;;
204453;1204453;camara;56;Natália Bonavides;PT;RN;Titular;1;-7,325911236;0,953907816;PT;PT;499;476;VERDADEIRO;;;;;;;;;;
134812;1134812;camara;55;Edmilson Rodrigues;PSOL;PA;Titular;0;-7,312434517;0,945107399;PSOL;PSOL;419;396;VERDADEIRO;;;;;;;;;;
135054;1135054;camara;56;Cristiano Vale;PL;PA;Titular;1;4,235765087;0,900763359;PL;PL;524;472;VERDADEIRO;;;;;;;;;;
160538;1160538;camara;54;Bohn Gass;PT;RS;Titular;1;-7,188608474;0,943609023;PT;PT;532;502;VERDADEIRO;;;;;;;;;;
74398;174398;camara;52;Maria Do Rosário;PT;RS;Titular;1;-7,052715401;0,942604857;PT;PT;453;427;VERDADEIRO;;;;;;;;;;
139285;1139285;camara;53;Lídice Da Mata;PSB;BA;Titular;1;-3,265999376;0,895791583;PSB;PSB;499;447;VERDADEIRO;;;;;;;;;;
5895;25895;senado;56;Jorge Kajuru;CIDADANIA;GO;Titular;1;-6,968684972;1;PATRIOTA;CIDADANIA;1;1;;;;;;;;;;;
5895;25895;senado;56;Jorge Kajuru;CIDADANIA;GO;Titular;1;-6,968684972;0,808823529;CIDADANIA;CIDADANIA;68;55;VERDADEIRO;;;;;;;;;;
159237;1159237;camara;54;Assis Carvalho;PT;PI;Titular;0;-6,899550262;0,952586207;PT;PT;232;221;VERDADEIRO;;;;;;;;;;
178986;1178986;camara;55;Nilto Tatto;PT;SP;Titular;1;-6,848751958;0,948717949;PT;PT;507;481;VERDADEIRO;;;;;;;;;;
374;2374;senado;55;Paulo Rocha;PT;PA;Titular;1;-6,813973184;0,987179487;PT;PT;78;77;VERDADEIRO;;;;;;;;;;
205548;1205548;camara;56;David Miranda;PSOL;RJ;Efetivado;1;-6,691776172;0,920091324;PSOL;PSOL;438;403;VERDADEIRO;;;;;;;;;;
141408;1141408;camara;53;Cleber Verde;REPUBLICANOS;MA;Titular;1;4,008127056;0,784017279;REPUBLICANOS;REPUBLICANOS;463;363;VERDADEIRO;;;;;;;;;;
