"","idOrgao","uriOrgao","siglaOrgao","nomeOrgao","idDeputado","uriDeputado","nomeDeputado","siglaPartido","siglaUF","cargo","dataInicio","dataFim","idLegislatura"
"1",4,"https://dadosabertos.camara.leg.br/api/v2/orgaos/4","MESA","Mesa Diretora da Câmara dos Deputados",178882,"https://dadosabertos.camara.leg.br/api/v2/deputados/178882","André Fufuca","PP","MA","4º Secretário",2019-02-01,2021-02-01 23:59:59,56
"2",4,"https://dadosabertos.camara.leg.br/api/v2/orgaos/4","MESA","Mesa Diretora da Câmara dos Deputados",141428,"https://dadosabertos.camara.leg.br/api/v2/deputados/141428","Fábio Faria","PSD","RN","3º Secretário",2019-02-01,2020-06-17 23:59:59,56
"3",4,"https://dadosabertos.camara.leg.br/api/v2/orgaos/4","MESA","Mesa Diretora da Câmara dos Deputados",178946,"https://dadosabertos.camara.leg.br/api/v2/deputados/178946","Soraya Santos","PR","RJ","1º Secretário",2019-02-01,2021-02-01 23:59:59,56
"4",4,"https://dadosabertos.camara.leg.br/api/v2/orgaos/4","MESA","Mesa Diretora da Câmara dos Deputados",74158,"https://dadosabertos.camara.leg.br/api/v2/deputados/74158","Mário Heringer","PDT","MG","2º Secretário",2019-02-01,2021-02-01 23:59:59,56
"5",4,"https://dadosabertos.camara.leg.br/api/v2/orgaos/4","MESA","Mesa Diretora da Câmara dos Deputados",204506,"https://dadosabertos.camara.leg.br/api/v2/deputados/204506","Marcos Pereira","PRB","SP","1º Vice-Presidente",2019-02-01,2021-02-01 23:59:59,56
"6",4,"https://dadosabertos.camara.leg.br/api/v2/orgaos/4","MESA","Mesa Diretora da Câmara dos Deputados",74478,"https://dadosabertos.camara.leg.br/api/v2/deputados/74478","Luciano Bivar","PSL","PE","2º Vice-Presidente",2019-02-01,2021-02-01 23:59:59,56
"7",4,"https://dadosabertos.camara.leg.br/api/v2/orgaos/4","MESA","Mesa Diretora da Câmara dos Deputados",74693,"https://dadosabertos.camara.leg.br/api/v2/deputados/74693","Rodrigo Maia","DEM","RJ","Presidente",2019-02-01,2021-02-01 23:59:59,56
"8",4,"https://dadosabertos.camara.leg.br/api/v2/orgaos/4","MESA","Mesa Diretora da Câmara dos Deputados",178951,"https://dadosabertos.camara.leg.br/api/v2/deputados/178951","Rafael Motta","PSB","RN","1º Suplente de Secretário",2019-02-01,2021-02-01 23:59:59,56
"9",4,"https://dadosabertos.camara.leg.br/api/v2/orgaos/4","MESA","Mesa Diretora da Câmara dos Deputados",178966,"https://dadosabertos.camara.leg.br/api/v2/deputados/178966","Geovania de Sá","PSDB","SC","2º Suplente de Secretário",2019-02-01,2021-02-01 23:59:59,56
"10",4,"https://dadosabertos.camara.leg.br/api/v2/orgaos/4","MESA","Mesa Diretora da Câmara dos Deputados",204436,"https://dadosabertos.camara.leg.br/api/v2/deputados/204436","Isnaldo Bulhões Jr.","MDB","AL","3º Suplente de Secretário",2019-02-01,2021-02-01 23:59:59,56
