"","uriProposicao","siglaTipo","numero","ano","codTema","tema","relevancia"
"1","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268647","INC",1,2021,35,"Arte, Cultura e Religião",0
"2","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268647","INC",1,2021,39,"Esporte e Lazer",0
"3","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268627","PRC",1,2021,34,"Administração Pública",0
"4","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268627","PRC",1,2021,53,"Processo Legislativo e Atuação Parlamentar",0
"5","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270377","REP",1,2021,53,"Processo Legislativo e Atuação Parlamentar",0
"6","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268421","RIC",1,2021,57,"Defesa e Segurança",0
"7","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270222","SIT",1,2021,54,"Energia, Recursos Hídricos e Minerais",0
"8","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270222","SIT",1,2021,70,"Finanças Públicas e Orçamento",0
"9","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268649","INC",2,2021,56,"Saúde",0
"10","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270544","REP",2,2021,53,"Processo Legislativo e Atuação Parlamentar",0
"11","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268422","RIC",2,2021,56,"Saúde",0
"12","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270534","SIT",2,2021,54,"Energia, Recursos Hídricos e Minerais",0
"13","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270534","SIT",2,2021,70,"Finanças Públicas e Orçamento",0
"14","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268697","PRC",2,2021,53,"Processo Legislativo e Atuação Parlamentar",0
"15","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268682","PDL",2,2021,62,"Ciência, Tecnologia e Inovação",0
"16","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268682","PDL",2,2021,70,"Finanças Públicas e Orçamento",0
"17","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268682","PDL",2,2021,55,"Relações Internacionais e Comércio Exterior",0
"18","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268652","INC",3,2021,44,"Direitos Humanos e Minorias",0
"19","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270800","PEC",3,2021,53,"Processo Legislativo e Atuação Parlamentar",0
"20","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268715","PLP",3,2021,40,"Economia",0
"21","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270908","REP",3,2021,53,"Processo Legislativo e Atuação Parlamentar",0
"22","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268423","RIC",3,2021,56,"Saúde",0
"23","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268778","PRC",3,2021,53,"Processo Legislativo e Atuação Parlamentar",0
"24","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268699","PDL",3,2021,34,"Administração Pública",0
"25","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268656","INC",4,2021,67,"Direito e Defesa do Consumidor",0
"26","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268656","INC",4,2021,44,"Direitos Humanos e Minorias",0
"27","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268656","INC",4,2021,61,"Viação, Transporte e Mobilidade",0
"28","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268808","PLP",4,2021,70,"Finanças Públicas e Orçamento",0
"29","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268808","PLP",4,2021,66,"Indústria, Comércio e Serviços",0
"30","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270909","REP",4,2021,53,"Processo Legislativo e Atuação Parlamentar",0
"31","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268425","RIC",4,2021,40,"Economia",0
"32","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268832","PRC",4,2021,44,"Direitos Humanos e Minorias",0
"33","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268832","PRC",4,2021,72,"Homenagens e Datas Comemorativas",0
"34","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268741","PDL",4,2021,41,"Cidades e Desenvolvimento Urbano",0
"35","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268741","PDL",4,2021,40,"Economia",0
"36","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268658","INC",5,2021,57,"Defesa e Segurança",0
"37","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268658","INC",5,2021,44,"Direitos Humanos e Minorias",0
"38","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268884","PLP",5,2021,70,"Finanças Públicas e Orçamento",0
"39","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268884","PLP",5,2021,66,"Indústria, Comércio e Serviços",0
"40","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270910","REP",5,2021,53,"Processo Legislativo e Atuação Parlamentar",0
"41","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268429","RIC",5,2021,34,"Administração Pública",0
"42","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268429","RIC",5,2021,56,"Saúde",0
"43","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268861","PRC",5,2021,44,"Direitos Humanos e Minorias",0
"44","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268861","PRC",5,2021,70,"Finanças Públicas e Orçamento",0
"45","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268861","PRC",5,2021,53,"Processo Legislativo e Atuação Parlamentar",0
"46","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268824","PDL",5,2021,61,"Viação, Transporte e Mobilidade",0
"47","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268660","INC",6,2021,34,"Administração Pública",0
"48","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268660","INC",6,2021,44,"Direitos Humanos e Minorias",0
"49","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268660","INC",6,2021,52,"Previdência e Assistência Social",0
"50","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268924","PLP",6,2021,42,"Direito Civil e Processual Civil",0
"51","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268924","PLP",6,2021,40,"Economia",0
"52","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268924","PLP",6,2021,56,"Saúde",0
"53","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270911","REP",6,2021,53,"Processo Legislativo e Atuação Parlamentar",0
"54","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268431","RIC",6,2021,64,"Agricultura, Pecuária, Pesca e Extrativismo",0
"55","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268431","RIC",6,2021,51,"Estrutura Fundiária",0
"56","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268839","PDL",6,2021,43,"Direito Penal e Processual Penal",0
"57","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268839","PDL",6,2021,44,"Direitos Humanos e Minorias",0
