"","id","uri","sigla","nome","apelido","codTipoOrgao","tipoOrgao","nomePublicacao"
"1",4,"https://dadosabertos.camara.leg.br/api/v2/orgaos/4","MESA","Mesa Diretora da Câmara dos Deputados","Mesa Diretora",1,"Comissão Diretora","Mesa Diretora"
"2",51,"https://dadosabertos.camara.leg.br/api/v2/orgaos/51","Judiciário","Judiciário","Judiciário",50000,"Órgão do Poder Judiciário","Judiciário"
"3",57,"https://dadosabertos.camara.leg.br/api/v2/orgaos/57","MPU","MINISTÉRIO PÚBLICO DA UNIÃO","MINISTÉRIO PÚBLICO DA UNIÃO",81007,"MPU - Ministério Público da União","MINISTÉRIO PÚBLICO DA UNIÃO"
"4",60,"https://dadosabertos.camara.leg.br/api/v2/orgaos/60","PR","Presidência da República","PRESIDÊNCIA DA REPÚBLICA",30000,"Órgão do Poder Executivo","PRESIDÊNCIA DA REPÚBLICA"
"5",78,"https://dadosabertos.camara.leg.br/api/v2/orgaos/78","SF","Senado Federal","Senado Federal",40000,"Órgão do Poder Legislativo","Senado Federal"
"6",79,"https://dadosabertos.camara.leg.br/api/v2/orgaos/79","SFCMRC","Senado Federal (Comissão Mista - Art 142 e 143 do Regimento Comum)","Senado Federal (CMRC)",22000,"Órgão do Senado Federal","Senado Federal (CMRC)"
"7",80,"https://dadosabertos.camara.leg.br/api/v2/orgaos/80","STF","Supremo Tribunal Federal","Supremo Tribunal Federal",50000,"Órgão do Poder Judiciário","Supremo Tribunal Federal"
"8",81,"https://dadosabertos.camara.leg.br/api/v2/orgaos/81","STJ","Superior Tribunal de Justiça","Superior Tribunal de Justiça",50000,"Órgão do Poder Judiciário","Superior Tribunal de Justiça"
"9",82,"https://dadosabertos.camara.leg.br/api/v2/orgaos/82","TCU","Tribunal de Contas da União","Tribunal de Contas da União",40000,"Órgão do Poder Legislativo","Tribunal de Contas da União"
"10",93,"https://dadosabertos.camara.leg.br/api/v2/orgaos/93","GSF","Gráfica - Senado Federal","Gráfica - Senado Federal",22000,"Órgão do Senado Federal","Gráfica - Senado Federal"
"11",111,"https://dadosabertos.camara.leg.br/api/v2/orgaos/111","CN","CONGRESSO NACIONAL","CONGRESSO NACIONAL",81001,"Órgão do Congresso Nacional","CN"
"12",180,"https://dadosabertos.camara.leg.br/api/v2/orgaos/180","PLEN","Plenário","Plenário",26,"Plenário Virtual","Plenário"
"13",186,"https://dadosabertos.camara.leg.br/api/v2/orgaos/186","CCP","COORDENAÇÃO DE COMISSÕES PERMANENTES","COORDENAÇÃO DE COMISSÕES PERMANENTES",12000,"Órgão da Câmara dos Deputados","COORDENAÇÃO DE COMISSÕES PERMANENTES"
