"","id","uri","data","dataHoraRegistro","idOrgao","uriOrgao","siglaOrgao","idEvento","uriEvento","aprovacao","votosSim","votosNao","votosOutros","descricao","ultimaAberturaVotacao_dataHoraRegistro","ultimaAberturaVotacao_descricao","ultimaApresentacaoProposicao_dataHoraRegistro","ultimaApresentacaoProposicao_descricao","ultimaApresentacaoProposicao_idProposicao","ultimaApresentacaoProposicao_uriProposicao"
"1","2273361-3","https://dadosabertos.camara.leg.br/api/v2/votacoes/2273361-3",2021-03-09,2021-03-09 11:17:32,538344,"https://dadosabertos.camara.leg.br/api/v2/orgaos/538344","PL804510",60521,"https://dadosabertos.camara.leg.br/api/v2/eventos/60521",1,0,0,0,"Aprovado o Requerimento.",NA,NA,2021-03-08 16:47:14,"Apresentação do Requerimento n. 2/2021, pelo Deputado João Campos (REPUBLIC-GO), que: ""Requer a prorrogação dos prazos de tramitação do Projeto de Lei nº 8.045, de 2010, na Comissão Especial"".",0,NA
"2","2272137-28","https://dadosabertos.camara.leg.br/api/v2/votacoes/2272137-28",2021-03-09,2021-03-09 16:09:50,180,"https://dadosabertos.camara.leg.br/api/v2/orgaos/180","PLEN",60527,"https://dadosabertos.camara.leg.br/api/v2/eventos/60527",0,30,346,3,"Rejeitado o Requerimento. Sim: 30; não: 346; abstenção: 2; total: 378.",NA,NA,NA,"Apresentação do Requerimento n. 406/2021, pela Deputada Tabata Amaral (PDT/SP), que ""Requer desmembramento de parte da Proposta de Emenda à Constituição n. 186 de 2019, para que constitua proposição separada"".",2273406,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2273406"
"3","2272137-33","https://dadosabertos.camara.leg.br/api/v2/votacoes/2272137-33",2021-03-09,2021-03-09 16:35:30,180,"https://dadosabertos.camara.leg.br/api/v2/orgaos/180","PLEN",60527,"https://dadosabertos.camara.leg.br/api/v2/eventos/60527",0,0,0,0,"Rejeitado o Requerimento.",NA,NA,2021-03-09 16:16:51,"Parecer proferido em Plenário pelo Relator, Dep. Daniel Freitas (PSL-SC), pela Comissão de Constituição e Justiça e de Cidadania, que conclui pela admissibilidade da Proposta de Emenda à Constituição nº 186, de 2019.",2273446,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2273446"
"4","2272137-36","https://dadosabertos.camara.leg.br/api/v2/votacoes/2272137-36",2021-03-09,2021-03-09 16:53:57,180,"https://dadosabertos.camara.leg.br/api/v2/orgaos/180","PLEN",60527,"https://dadosabertos.camara.leg.br/api/v2/eventos/60527",0,13,338,2,"Rejeitado o Requerimento. Sim: 13; não: 338; abstenção: 1 total: 352.",NA,NA,2021-03-09 16:16:51,"Parecer proferido em Plenário pelo Relator, Dep. Daniel Freitas (PSL-SC), pela Comissão de Constituição e Justiça e de Cidadania, que conclui pela admissibilidade da Proposta de Emenda à Constituição nº 186, de 2019.",2273446,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2273446"
"5","2272137-39","https://dadosabertos.camara.leg.br/api/v2/votacoes/2272137-39",2021-03-09,2021-03-09 17:13:59,180,"https://dadosabertos.camara.leg.br/api/v2/orgaos/180","PLEN",60527,"https://dadosabertos.camara.leg.br/api/v2/eventos/60527",0,0,0,0,"Rejeitado o Requerimento.",NA,NA,2021-03-09 16:16:51,"Parecer proferido em Plenário pelo Relator, Dep. Daniel Freitas (PSL-SC), pela Comissão de Constituição e Justiça e de Cidadania, que conclui pela admissibilidade da Proposta de Emenda à Constituição nº 186, de 2019.",2273446,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2273446"
"6","2272137-42","https://dadosabertos.camara.leg.br/api/v2/votacoes/2272137-42",2021-03-09,2021-03-09 17:25:53,180,"https://dadosabertos.camara.leg.br/api/v2/orgaos/180","PLEN",60527,"https://dadosabertos.camara.leg.br/api/v2/eventos/60527",0,0,0,0,"Rejeitado o Requerimento.",NA,NA,2021-03-09 16:16:51,"Parecer proferido em Plenário pelo Relator, Dep. Daniel Freitas (PSL-SC), pela Comissão de Constituição e Justiça e de Cidadania, que conclui pela admissibilidade da Proposta de Emenda à Constituição nº 186, de 2019.",2273446,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2273446"
"7","2272137-49","https://dadosabertos.camara.leg.br/api/v2/votacoes/2272137-49",2021-03-09,2021-03-09 18:30:03,180,"https://dadosabertos.camara.leg.br/api/v2/orgaos/180","PLEN",60527,"https://dadosabertos.camara.leg.br/api/v2/eventos/60527",1,358,76,3,"Aprovado o Requerimento. Sim: 358; não: 76; abstenção: 2; total: 436.",NA,NA,2021-03-09 16:16:51,"Parecer proferido em Plenário pelo Relator, Dep. Daniel Freitas (PSL-SC), pela Comissão de Constituição e Justiça e de Cidadania, que conclui pela admissibilidade da Proposta de Emenda à Constituição nº 186, de 2019.",2273446,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2273446"
"8","2270695-3","https://dadosabertos.camara.leg.br/api/v2/votacoes/2270695-3",2021-03-09,2021-03-09 15:33:41,538891,"https://dadosabertos.camara.leg.br/api/v2/orgaos/538891","GT5G",60489,"https://dadosabertos.camara.leg.br/api/v2/eventos/60489",1,0,0,0,"Aprovado.",NA,NA,NA,"Apresentação do Requerimento n. 1/2021, pelo Deputado Vitor Lippi (PSDB/SP), que ""Requer a inclusão da empresa Qualcomm como convidado na 10ª reunião do Grupo de Trabalho sobre a Implantação da Tecnologia 5G no Brasil, a fim de debater a tecnologia 5G, funcionalidades, aspectos mercadológicos e de segurança cibernética.

"".",0,NA
"9","2270750-3","https://dadosabertos.camara.leg.br/api/v2/votacoes/2270750-3",2021-03-09,2021-03-09 15:33:43,538891,"https://dadosabertos.camara.leg.br/api/v2/orgaos/538891","GT5G",60489,"https://dadosabertos.camara.leg.br/api/v2/eventos/60489",1,0,0,0,"Aprovado.",NA,NA,NA,"Apresentação do Requerimento n. 8/2021, pelo Deputado Vitor Lippi (PSDB/SP), que ""Requer a inclusão do tema 'Impactos do 5G no Agronegócio Brasileiro' no cronograma de reuniões e audiências públicas do Grupo de Trabalho sobre a Implantação da Tecnologia 5G no Brasil, com os seguintes convidados: MAPA - Ministério da Agricultura, Pecuária e Abastecimento; Anatel - Agência Nacional de Telecomunicações; CNA - Confederação Nacional da Agricultura; FPA - Frente Parlamentar da Agropecuária; Datora Telecomunicações; Telcomp -Associação Brasileira das Prestadoras de Serviços de Telecomunicações Competitivas "".",0,NA
"10","2271134-2","https://dadosabertos.camara.leg.br/api/v2/votacoes/2271134-2",2021-03-09,2021-03-09 15:33:43,538891,"https://dadosabertos.camara.leg.br/api/v2/orgaos/538891","GT5G",60489,"https://dadosabertos.camara.leg.br/api/v2/eventos/60489",1,0,0,0,"Aprovado incluido a importancia da conectividade.",NA,NA,NA,"Apresentação do Requerimento de Audiência Pública n. 9/2021, pelo Deputado Vitor Lippi (PSDB/SP), que ""Requer a inclusão da P&D Brasil como convidada na 8ª reunião do Grupo de Trabalho sobre a Implantação da Tecnologia 5G no Brasil, a fim de debater questões de Infraestrutura e Equipamentos.

"".",0,NA
"11","2273183-2","https://dadosabertos.camara.leg.br/api/v2/votacoes/2273183-2",2021-03-09,2021-03-09 15:33:43,538891,"https://dadosabertos.camara.leg.br/api/v2/orgaos/538891","GT5G",60489,"https://dadosabertos.camara.leg.br/api/v2/eventos/60489",1,0,0,0,"Aprovado.",NA,NA,NA,"Apresentação do Requerimento de Audiência Pública n. 10/2021, pelo Deputado Vitor Lippi (PSDB/SP), que ""Requer a inclusão do Grupo Thales e da Intelbras na 10ª reunião do Grupo de Trabalho sobre a Implantação da Tecnologia 5G no Brasil, a fim de debater a tecnologia 5G, funcionalidades, aspectos mercadológicos e de segurança cibernética"".",0,NA
"12","2273347-2","https://dadosabertos.camara.leg.br/api/v2/votacoes/2273347-2",2021-03-09,2021-03-09 15:33:43,538891,"https://dadosabertos.camara.leg.br/api/v2/orgaos/538891","GT5G",60489,"https://dadosabertos.camara.leg.br/api/v2/eventos/60489",1,0,0,0,"Aprovado.",NA,NA,NA,"Apresentação do Requerimento de Audiência Pública n. 11/2021, pelo Deputado Vitor Lippi (PSDB/SP), que ""Requer a inclusão da Embrapa na reunião acerca do tema: Impactos do 5G no Agronegócio Brasileiro, do Grupo de Trabalho sobre a Implantação da Tecnologia 5G no Brasil. "".",0,NA
"13","2272137-55","https://dadosabertos.camara.leg.br/api/v2/votacoes/2272137-55",2021-03-09,2021-03-09 18:56:15,180,"https://dadosabertos.camara.leg.br/api/v2/orgaos/180","PLEN",60536,"https://dadosabertos.camara.leg.br/api/v2/eventos/60536",0,0,0,0,"Rejeitado o Requerimento.",2021-03-09 18:37:01,"Votação, em turno único, do Parecer de admissibilidade da Proposta de Emenda à Constituição nº 186, de 2019.",NA,"Apresentação do Requerimento n. 408/2021, pelo Deputado Arlindo Chinaglia (PT/SP), que ""Requer desmembramento da PEC 186/2019"".",2273430,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2273430"
